Weight,Horsepower
3504,130
3693,165
3436,150
3433,150
3449,140
4341,198
4354,220
4312,215
4425,225
3850,190
3090,115
4142,165
4034,153
4166,175
3850,175
3563,170
3609,160
3353,140
3761,150
3086,225
2372,95
2833,95
2774,97
2587,85
2130,88
1835,46
2672,87
2430,90
2375,95
2234,113
2648,90
4615,215
4376,200
4382,210
4732,193
2130,88
2264,90
2228,95
2046,0
1978,48
2634,100
3439,105
3329,100
3302,88
3288,100
4209,165
4464,175
4154,153
4096,150
4955,180
4746,170
5140,175
2962,110
2408,72
3282,100
3139,88
2220,86
2123,90
2074,70
2065,76
1773,65
1613,69
1834,60
1955,70
2278,95
2126,80
2254,54
2408,90
2226,86
4274,165
4385,175
4135,150
4129,153
3672,150
4633,208
4502,155
4456,160
4422,190
2330,97
3892,150
4098,130
4294,140
4077,150
2933,112
2511,76
2979,87
2189,69
2395,86
2288,92
2506,97
2164,80
2100,88
4100,175
3672,150
3988,145
4042,137
3777,150
4952,198
4464,150
4363,158
4237,150
4735,215
4951,225
3821,175
3121,105
3278,100
2945,100
3021,88
2904,95
1950,46
4997,150
4906,167
4654,170
4499,180
2789,100
2279,88
2401,72
2379,94
2124,90
2310,85
2472,107
2265,90
4082,145
4278,230
1867,49
2158,75
2582,91
2868,112
3399,150
2660,110
2807,122
3664,180
3102,95
2875,0
2901,100
3336,100
1950,67
2451,80
1836,65
2542,75
3781,100
3632,110
3613,105
4141,140
4699,150
4457,150
4638,140
4257,150
2219,83
1963,67
2300,78
1649,52
2003,61
2125,75
2108,75
2246,75
2489,97
2391,93
2000,67
3264,95
3459,105
3432,72
3158,72
4668,170
4440,145
4498,150
4657,148
3907,110
3897,105
3730,110
3785,95
3039,110
3221,110
3169,129
2171,75
2639,83
2914,100
2592,78
2702,96
2223,71
2545,97
2984,97
1937,70
3211,90
2694,95
2957,88
2945,98
2671,115
1795,53
2464,86
2220,81
2572,92
2255,79
2202,83
4215,140
4190,150
3962,120
4215,152
3233,100
3353,105
3012,81
3085,90
2035,52
2164,60
1937,70
1795,53
3651,100
3574,78
3645,110
3193,95
1825,71
1990,70
2155,75
2565,72
3150,102
3940,150
3270,88
2930,108
3820,120
4380,180
4055,145
3870,130
3755,150
2045,68
2155,80
1825,58
2300,96
1945,70
3880,145
4060,110
4140,145
4295,130
3520,110
3425,105
3630,100
3525,98
4220,180
4165,170
4325,190
4335,149
1940,78
2740,88
2265,75
2755,89
2051,63
2075,83
1985,67
2190,78
2815,97
2600,110
2720,110
1985,48
1800,66
1985,52
2070,70
1800,60
3365,110
3735,140
3570,139
3535,105
3155,95
2965,85
2720,88
3430,100
3210,90
3380,105
3070,85
3620,110
3410,120
3425,145
3445,165
3205,139
4080,140
2155,68
2560,95
2300,97
2230,75
2515,95
2745,105
2855,85
2405,97
2830,103
3140,125
2795,115
3410,133
1990,71
2135,68
3245,115
2990,85
2890,88
3265,90
3360,110
3840,130
3725,129
3955,138
3830,135
4360,155
4054,142
3605,125
3940,150
1925,71
1975,65
1915,80
2670,80
3530,77
3900,125
3190,71
3420,90
2200,70
2150,70
2020,65
2130,69
2670,90
2595,115
2700,115
2556,90
2144,76
1968,60
2120,70
2019,65
2678,90
2870,88
3003,90
3381,90
2188,78
2711,90
2542,75
2434,92
2265,75
2110,65
2800,105
2110,65
2085,48
2335,48
2950,67
3250,67
1850,67
1835,0
2145,67
1845,62
2910,132
2420,100
2500,88
2905,0
2290,72
2490,84
2635,84
2620,92
2725,110
2385,84
1755,58
1875,64
1760,60
2065,67
1975,65
2050,62
1985,68
2215,63
2045,65
2380,65
2190,74
2320,0
2210,75
2350,75
2615,100
2635,74
3230,80
2800,110
3160,76
2900,116
2930,120
3415,110
3725,105
3060,88
3465,85
2605,88
2640,88
2395,88
2575,85
2525,84
2735,90
2865,92
3035,0
1980,74
2025,68
1970,68
2125,63
2125,70
2160,88
2205,75
2245,70
1965,67
1965,67
1995,67
2945,110
3015,85
2585,92
2835,112
2665,96
2370,84
2950,90
2790,86
2130,52
2295,84
2625,79
2720,82
